ID;sex;birthRegion;resRegion;eduRegion;eduSize
N00002;sex1;regN2c;regN2c;regN2c;size1
N00003;sex1;regN2c;regN2c;regN2c;size1
N00005;sex1;regN4a;regN2c;regN4a;size5
N00006;sex2;regN2c;regN2c;regN2c;size1
N00008;sex1;regZ;regN3b;regN4a;size4
N00011;sex1;regN2c;regN2c;regN2c;size1
N00013;sex1;regN4a;regN2c;regN4a;size2
N00014;sex1;regN4a;regN2c;regN4a;size3
N00015;sex1;regN3c;regN2c;regN2c;size3
N00019;sex1;regN1a;regN2c;regNx;sizeX
N00022;sex2;regN3d;regN2c;regN1a;size1
N00023;sex1;regN1a;regN2c;regN2c;size4
N00024;sex1;regN1a;regN2c;regN4a;size1
N00027;sex1;regN2c;regN2c;regN2c;size1
N00028;sex2;regN3b;regN2c;regN3b;size2
N00029;sex2;regN4a;regN2c;regN4a;size4
N00032;sex1;regN4a;regN4a;regN4a;size4
N00034;sex1;regN4a;regN2c;regN4a;size4
N00042;sex1;regN2c;regN2c;regN2c;size1
N00043;sex2;regN4a;regN2c;regN4a;size4
N00045;sex1;regNx;regN2c;regNx;sizeX
N00046;sex1;regN2c;regN2c;regN2c;size1
N00048;sex2;regN2b;regN2c;regN3a;size3
N00049;sex1;regN4a;regN2c;regN4a;size1
N00050;sex1;regN2c;regN2b;regN2c;size1
N00051;sex1;regN2c;regN1c;regN2c;size1
N00052;sex1;regN2c;regN2c;regN2c;size1
N00053;sex1;regN3c;regN2c;regN3a;size3
N00054;sex1;regN1c;regN1b;regN1c;size1
N00055;sex1;regZ;regN1c;regN1a;size3
N00056;sex1;regN2a;regN4a;regN4a;size3
N00057;sex1;regN1a;regN2c;regN1a;size1
N00058;sex1;regN4a;regN2c;regN4a;size3
N00059;sex1;regN4a;regN2c;regN4a;size6
N00060;sex1;regN2b;regN1a;regN1a;size2
N00061;sex2;regN1b;regN1a;regN1b;size1
N00062;sex1;regN3c;regN1a;regN1a;size2
N00063;sex2;regX;regNx;regX;sizeX
N00064;sex1;regX;regNx;regX;sizeX
N00065;sex1;regX;regNx;regX;sizeX
N00066;sex1;regX;regNx;regX;sizeX
N00067;sex1;regX;regNx;regX;sizeX
N00068;sex2;regX;regNx;regX;sizeX
N00075;sex1;regX;regNx;regX;sizeX
N00076;sex1;regX;regNx;regX;sizeX
N00077;sex1;regX;regNx;regX;sizeX
N00078;sex1;regX;regNx;regX;sizeX
N00079;sex1;regX;regNx;regX;sizeX
N00080;sex1;regX;regNx;regX;sizeX
N00081;sex1;regX;regNx;regX;sizeX
N00082;sex1;regX;regNx;regX;sizeX
N00083;sex1;regX;regNx;regX;sizeX
N00084;sex1;regX;regNx;regX;sizeX
N00085;sex1;regX;regNx;regX;sizeX
N00086;sex1;regX;regNx;regX;sizeX
N00087;sex1;regX;regNx;regX;sizeX
N00088;sex1;regX;regNx;regX;sizeX
N00089;sex1;regX;regNx;regX;sizeX
N00112;sex1;regN1a;regN1a;regN1a;size2
N00113;sex2;regN2c;regN2c;regN2c;size3
N00114;sex1;regN4b;regN4b;regN4b;size6
N00115;sex2;regN2c;regN4b;regN4b;size6
N00116;sex2;regN4b;regN4b;regN4b;size3
N00117;sex2;regN3a;regN2c;regN3a;size4
N00118;sex1;regN2c;regN2c;regN2c;size6
N00119;sex2;regN3d;regN3d;regN3d;size6
N00120;sex2;regN3d;regN3c;regN3d;size1
N00121;sex1;regN3d;regN3c;regN3c;size3
N00122;sex1;regN3d;regN3c;regN3c;size2
N00123;sex2;regN3c;regN3c;regN3c;size2
N00124;sex2;regN3d;regN3d;regN3d;size6
N00125;sex2;regN2b;regN3c;regN3c;size5
N00126;sex1;regN2d;regN2b;regN3a;size4
N00127;sex1;regN2d;regN2d;regN2d;size2
N00128;sex2;regN1a;regN2c;regN2c;size3
N00129;sex2;regN4b;regN4b;regN4b;size5
N00130;sex1;regN3c;regN3c;regN3c;size3
N00131;sex1;regN3d;regN3d;regN3d;size6
N00132;sex1;regN3e;regN3d;regN3d;size6
N00133;sex1;regN3c;regN3c;regN3c;size2
N00134;sex2;regN3d;regN3d;regN3d;size4
N00135;sex2;regN3d;regN3d;regN3d;size4
N00136;sex2;regN3d;regN3c;regN3d;size5
N00137;sex1;regN3c;regN3c;regN3c;size2
N00138;sex2;regN4b;regN4b;regN4b;size3
N00139;sex1;regN4b;regN4b;regN4b;size6
N00140;sex1;regN4b;regN4b;regN4b;size3
N00141;sex2;regN4b;regN4b;regN4b;size3
N00142;sex1;regN4b;regN4b;regN4b;size5
N00143;sex2;regN4b;regN4b;regN4b;size6
N00144;sex1;regN4b;regN4b;regN4b;size3
N00145;sex1;regN2c;regN2c;regN2c;size4
N00146;sex1;regN2d;regN2d;regN2d;size2
N00147;sex1;regN4b;regN4b;regN4b;size3
N00148;sex1;regN4b;regN4b;regN4b;size6
N00149;sex1;regN4b;regN4b;regN4b;size3
N00150;sex2;regN2d;regN2d;regN2d;size6
N00151;sex1;regN1a;regN1a;regN1a;size1
N00152;sex1;regN1a;regN1a;regN1a;size2
N00153;sex2;regN1b;regN1a;regN1b;size1
N00154;sex1;regN1a;regN1a;regN1b;size2
N00155;sex2;regN1a;regN1a;regN1a;size1
N00156;sex1;regN1a;regN1a;regN1a;size3
N00157;sex2;regN1a;regN1a;regN1a;size4
N00158;sex1;regNx;regN1a;regN1a;size5
N00159;sex2;regN1a;regN1a;regN1a;size2
N00160;sex2;regN1a;regN1a;regN1a;size4
N00161;sex2;regN1a;regN1a;regN1a;size5
N00162;sex1;regN1a;regN1a;regN1a;size6
N00163;sex2;regN1a;regN1a;regN1a;size2
N00164;sex2;regN1a;regN1a;regN1a;size1
N00165;sex2;regN1b;regN1a;regN1a;size1
N00166;sex2;regN1a;regN2b;regN2d;size2
N00167;sex1;regN2d;regN2b;regN2d;size6
N00168;sex1;regN1a;regN2b;regN1a;size4
N00169;sex1;regN1a;regN1a;regN1a;size1
N00170;sex2;regN3e;regN1a;regN3e;size3
N00171;sex1;regN1a;regN1a;regN1a;size1
N00172;sex2;regN1b;regN1b;regN3b;size1
N00173;sex2;regN1a;regN3d;regN1b;size1
N00174;sex1;regN4a;regN1a;regN1a;size1
N00175;sex1;regN4a;regN4b;regN4a;size2
